street,suburb,government_area,market,country,country_code,type,Latitude,Longitude,is_location_exact
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14945,-8.61246,True
"Leichhardt, NSW, Australia",Annandale/Leichhardt,Leichhardt,Sydney,Australia,AU,Point,-33.88792,151.15151,False
"Kings Langley, NSW, Australia",,Blacktown,Sydney,Australia,AU,Point,-33.74899,150.93016,True
"Surry Hills, NSW, Australia",Surry Hills,Sydney,Sydney,Australia,AU,Point,-33.88457,151.21344,False
"Kingsford, NSW, Australia",Kingsford,Randwick,Sydney,Australia,AU,Point,-33.92575,151.23178,True
"Montréal, Québec, Canada",Old Port,Ville-Marie,Montreal,Canada,CA,Point,45.50624,-73.55506,True
"Istanbul, İstanbul, Turkey",Kadıköy,Kadikoy,Istanbul,Turkey,TR,Point,40.95698,29.10343,False
"Montréal, Québec, Canada",Le Plateau,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.51289,-73.57063,True
"Hong Kong, Kowloon, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,Point,22.32895,114.16515,True
"Dollard-des-Ormeaux, Québec, Canada",Dollard-des-Ormeaux,Dollard-des-Ormeaux,Montreal,Canada,CA,Point,45.49149,-73.79539,True
"Brooklyn, NY, United States",Brooklyn,Prospect Heights,New York,United States,US,Point,40.67424,-73.96665,True
"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52997,-73.57851,True
"Montréal, Québec, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.49681,-73.58467,True
"Kowloon, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.31555,114.16902,False
"Montréal, Québec, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.52542,-73.56003,True
"İstanbul, İstanbul, Turkey",Kadıköy,Kadikoy,Istanbul,Turkey,TR,Point,40.99423,29.06419,False
"Montréal, Québec, Canada",Mercier-Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,45.55214,-73.53359,True
"Istanbul , İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,Point,41.04634,28.98235,False
"Fatih, İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,Point,41.01498,28.97814,True
"Montréal, Québec, Canada",La Petite-Patrie,Rosemont-La Petite-Patrie,Montreal,Canada,CA,Point,45.53551,-73.60455,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.15167,-8.6134,True
"Pendik, İstanbul, Turkey",,Pendik,Istanbul,Turkey,TR,Point,40.91084,29.28268,False
"Barcelona, Catalunya, Spain",Les Corts,les Corts,Barcelona,Spain,ES,Point,41.38778,2.13539,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.149,-8.6136,True
"Jacarepagua, Rio de Janeiro, Brazil",Barra da Tijuca,Jacarepaguá,Rio De Janeiro,Brazil,BR,Point,-22.966354670980976,-43.38677907854566,True
"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52273,-73.59724,True
"Montréal, Québec, Canada",Saint-Laurent,Saint-Laurent,Montreal,Canada,CA,Point,45.52717,-73.67791,True
"Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.983047230789303,-43.190186599650126,False
"Hong Kong, Kowloon, Hong Kong",Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.31752,114.17204,True
"Barcelona, Catalunya, Spain",Ciutat Vella,el Raval,Barcelona,Spain,ES,Point,41.37837,2.17513,True
"Parramatta, NSW, Australia",,Parramatta,Sydney,Australia,AU,Point,-33.82046,151.00813,True
"Istanbul , İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,Point,41.00495,28.96944,False
"İstanbul , İstanbul, Turkey",Üsküdar,Uskudar,Istanbul,Turkey,TR,Point,41.02806,29.0316,False
"Barcelona, Barcelona, Spain",Sants-Montjuïc,el Poble Sec,Barcelona,Spain,ES,Point,41.37384,2.15611,False
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14908,-8.61599,True
"Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.978756685779924,-43.189304204978704,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.15962,-8.60464,False
"Surry Hills, NSW, Australia",Surry Hills,Sydney,Sydney,Australia,AU,Point,-33.88531,151.21572,True
"Kingsford, NSW, Australia",Kingsford,Randwick,Sydney,Australia,AU,Point,-33.92301,151.22519,False
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14604,-8.60265,False
"BARCELONA, city, Spain",Vila de Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,Point,41.39817,2.16088,False
"Mascot, NSW, Australia",Mascot,Botany Bay,Sydney,Australia,AU,Point,-33.92305,151.19021,True
"Rio de Janeiro, RJ, Brazil",Rio Comprido,Rio Comprido,Rio De Janeiro,Brazil,BR,Point,-22.919290089687333,-43.208941782382105,False
"Fatih, İstanbul, Turkey",Sultanahmet,Fatih,Istanbul,Turkey,TR,Point,41.0057,28.98059,True
"Bondi, NSW, Australia",Bondi,Waverley,Sydney,Australia,AU,Point,-33.8944,151.26902,True
"Montréal, QC, Canada",Cote-des-Neiges-Notre-Dame-de-Grace,Côte-des-Neiges-Notre-Dame-de-Grâce,Montreal,Canada,CA,Point,45.50941,-73.63115,False
"Montréal, QC, Canada",Old Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.50303,-73.55329,False
"Papaikou, HI, United States",Island of Hawaiʻi,South Hilo,The Big Island,United States,US,Point,19.79571,-155.10169,True
"Hong Kong Island, Hong Kong Island, Hong Kong",North Point,Eastern,Hong Kong,Hong Kong,HK,Point,22.29154,114.19668,False
"Hong Kong Island, 香港島, Hong Kong",Mid-Levels,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28281,114.15016,False
"Rio, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.972320634618416,-43.185466986809175,True
"Vila Nova de Gaia, Porto, Portugal",,Santa Marinha e São Pedro da Afurada,Porto,Portugal,PT,Point,41.13647,-8.60689,True
"Vila Nova de Gaia, Porto, Portugal",,Mafamude e Vilar do Paraíso,Porto,Portugal,PT,Point,41.12979,-8.60369,False
"Sheung Wan, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28582,114.15152,False
"Barcelona, Catalunya, Spain",Ciutat Vella,el Raval,Barcelona,Spain,ES,Point,41.37874,2.16731,True
"Rio, Rio de Janeiro, Brazil",Tijuca,Tijuca,Rio De Janeiro,Brazil,BR,Point,-22.932416660150533,-43.2383038770407,False
"Barcelona, Catalunya, Spain",Ciutat Vella,el Raval,Barcelona,Spain,ES,Point,41.38119,2.16422,True
"Barcelona, Catalunya, Spain",Eixample,la Nova Esquerra de l'Eixample,Barcelona,Spain,ES,Point,41.38453,2.14838,True
"Barcelona, Catalunya, Spain",Ciutat Vella,el Barri Gòtic,Barcelona,Spain,ES,Point,41.38273,2.17745,False
"Copacabana, Rio de Janeiro, Brazil",Leme,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.96099670681764,-43.17306842860139,True
